Image,Source,Type,CX,CY,X_min,Y_min,W,H,Area
222.tif,Total,white,199,351,187,344,24,16,268.5
222.tif,Total,white,265,376,257,370,16,12,147.5
222.tif,Total,white,459,371,451,360,18,25,298.5
222.tif,Total,white,453,352,446,345,15,16,183.5
222.tif,Total,white,438,219,421,206,36,30,661.5
222.tif,Total,white,400,210,392,205,16,12,157.5
222.tif,Total,white,362,266,354,261,18,11,139.0
222.tif,Total,white,228,35,213,24,33,22,541.5
222.tif,Total,white,431,63,420,55,19,18,209.0
222.tif,Total,white,443,90,437,85,13,10,110.5
222.tif,Total,white,404,84,396,75,17,18,241.5
222.tif,Total,white,233,117,224,111,19,13,180.5
222.tif,Total,white,251,167,236,156,30,20,348.0
222.tif,Total,white,172,192,166,187,12,12,108.0
222.tif,Total,white,43,288,31,280,25,17,312.0
222.tif,Total,white,40,328,31,311,22,39,587.0
222.tif,Total,white,49,360,41,344,17,32,372.5
222.tif,Total,white,42,553,26,544,31,18,399.0
222.tif,Total,white,109,561,94,541,24,34,470.5
222.tif,Total,white,130,438,124,432,13,12,123.5
222.tif,Total,black,217,551,192,534,49,39,1317.0
367.tif,Total,black,272,460,236,407,74,104,6060.5
367.tif,Total,black,149,418,132,397,34,42,1021.0
367.tif,Total,black,105,163,88,130,36,63,1375.5
367.tif,Total,black,21,236,0,210,43,49,1488.5
367.tif,Total,black,466,400,446,374,41,51,1214.5
367.tif,Total,black,126,566,96,553,58,22,965.5
367.tif,Total,black,553,195,532,177,43,38,1144.0
367.tif,Total,black,509,275,485,248,48,53,1547.0
367.tif,Total,black,364,13,340,0,53,34,1224.5
367.tif,Total,black,405,122,363,93,75,71,3336.0
367.tif,Total,white,281,250,271,237,19,27,353.5
367.tif,Total,white,238,211,228,196,23,35,504.5
367.tif,Total,white,194,161,184,148,20,29,423.5
367.tif,Total,white,378,291,365,271,27,40,799.0
367.tif,Total,white,362,455,327,416,89,104,3993.0
367.tif,Total,white,176,368,160,347,34,39,766.5
367.tif,Total,white,106,538,85,524,40,29,776.0
367.tif,Total,white,260,363,245,332,28,63,1175.0
367.tif,Total,white,334,127,320,114,34,26,478.5
53.tif,Total,white,58,172,32,133,56,73,3032.0
53.tif,Total,black,268,180,205,138,119,73,5122.0
53.tif,Total,black,184,264,165,237,38,51,1199.5
53.tif,Total,white,191,532,130,478,109,97,5426.5
275.tif,Total,black,164,347,128,312,70,69,1672.0
275.tif,Total,black,279,295,236,268,81,70,1937.5
275.tif,Total,black,316,336,246,275,168,139,3683.0
275.tif,Total,black,486,362,443,326,93,76,2852.5
275.tif,Total,black,113,453,77,421,79,62,2826.5
275.tif,Total,white,512,150,490,131,43,37,562.5
275.tif,Total,white,524,536,505,511,49,42,813.0
275.tif,Total,white,548,454,530,444,43,24,310.0
330.tif,Total,white,10,313,3,306,15,15,170.0
330.tif,Total,white,228,169,217,156,23,26,419.0
330.tif,Total,white,294,113,285,100,20,25,388.0
330.tif,Total,white,432,379,423,366,20,27,328.0
330.tif,Total,white,448,442,432,429,31,28,516.0
330.tif,Total,white,378,539,367,527,22,23,283.0
330.tif,Total,white,35,492,24,482,24,20,338.5
330.tif,Total,white,7,365,0,353,16,25,316.0
330.tif,Total,black,183,402,149,373,65,55,1910.5
330.tif,Total,black,334,458,316,439,39,39,1007.0
330.tif,Total,black,283,440,273,427,20,28,403.5
330.tif,Total,black,106,370,79,349,54,37,1258.5
330.tif,Total,black,358,164,344,148,32,32,727.0
330.tif,Total,black,278,527,246,498,60,54,2177.0
263.tif,Total,white,211,481,165,346,100,225,9802.5
263.tif,Total,black,298,482,246,335,113,240,9519.5
263.tif,Total,black,529,512,492,409,70,163,1912.0
326.tif,Total,black,536,524,496,469,79,106,5953.5
326.tif,Total,black,419,403,363,365,100,84,4697.5
326.tif,Total,black,214,208,171,174,94,76,3431.5
326.tif,Total,black,252,417,206,371,89,105,3319.0
326.tif,Total,black,132,533,109,504,45,63,1694.0
326.tif,Total,black,10,528,0,499,25,60,1093.5
326.tif,Total,black,117,267,96,233,49,63,1770.5
326.tif,Total,black,367,49,327,21,71,67,2213.5
326.tif,Total,white,18,121,0,57,46,106,2994.0
326.tif,Total,white,33,433,5,390,58,83,3289.0
326.tif,Total,white,206,372,193,366,28,17,300.0
326.tif,Total,white,496,397,479,386,30,20,350.5
12.tif,Total,white,405,104,379,72,52,64,2130.5
12.tif,Total,white,314,410,286,385,67,49,1851.5
12.tif,Total,white,564,199,550,163,25,63,846.0
12.tif,Total,white,185,443,176,425,19,36,506.0
12.tif,Total,white,394,356,382,346,24,18,316.5
12.tif,Total,white,397,517,387,506,21,23,345.0
12.tif,Total,white,173,341,153,325,40,32,782.5
12.tif,Total,black,357,244,336,210,44,71,2233.5
12.tif,Total,black,281,104,265,83,34,41,894.5
12.tif,Total,black,167,154,150,139,34,32,736.5
12.tif,Total,black,163,251,138,215,58,77,2361.0
12.tif,Total,black,294,504,263,471,55,71,2319.5
234.tif,Total,white,75,300,59,275,33,51,1180.0
234.tif,Total,white,524,357,508,341,34,35,762.0
234.tif,Total,white,369,54,350,41,36,32,756.5
234.tif,Total,white,458,478,446,467,33,22,368.5
234.tif,Total,white,223,518,207,503,35,32,754.0
234.tif,Total,white,94,541,84,526,22,29,432.5
234.tif,Total,white,303,569,291,560,23,15,213.5
234.tif,Total,white,493,101,480,88,26,31,525.0
234.tif,Total,white,103,63,86,51,36,26,561.5
234.tif,Total,white,152,146,143,136,20,21,307.5
234.tif,Total,white,174,164,165,155,21,19,281.0
234.tif,Total,white,182,251,168,238,30,30,548.0
234.tif,Total,white,44,148,36,139,18,19,222.5
234.tif,Total,black,132,301,113,281,37,41,940.0
234.tif,Total,black,65,400,45,378,40,48,1270.5
234.tif,Total,black,507,546,485,507,51,68,2471.5
234.tif,Total,black,194,473,174,443,45,64,1837.0
234.tif,Total,black,308,221,279,194,65,52,2187.0
234.tif,Total,black,517,49,462,0,113,105,5269.5
234.tif,Total,black,23,550,0,524,49,51,2010.0
234.tif,Total,black,202,287,187,272,32,32,714.5
371.tif,Total,black,381,351,355,335,48,36,998.5
371.tif,Total,black,511,224,494,207,36,34,835.5
371.tif,Total,black,334,89,312,64,47,51,1211.0
371.tif,Total,black,145,431,119,409,50,45,1559.0
371.tif,Total,black,23,519,0,482,60,70,2827.0
371.tif,Total,black,510,454,453,427,103,53,2099.0
371.tif,Total,white,322,418,299,397,44,41,1224.5
371.tif,Total,white,241,89,225,76,33,30,739.0
371.tif,Total,white,111,361,96,349,30,24,500.5
371.tif,Total,white,541,20,505,0,67,52,1189.5
371.tif,Total,white,117,536,71,516,93,41,2165.5
371.tif,Total,white,319,456,302,446,35,21,485.0
45.tif,Total,white,222,127,193,100,67,61,2294.5
45.tif,Total,white,444,211,395,170,110,80,4901.5
45.tif,Total,black,407,472,337,428,138,91,7642.0
45.tif,Total,black,277,549,231,514,97,58,3202.0
45.tif,Total,black,276,241,208,176,154,139,9010.0
45.tif,Total,black,177,56,141,40,64,36,1486.0
45.tif,Total,black,39,370,20,347,42,42,1134.0
45.tif,Total,black,80,406,52,383,55,46,1387.0
45.tif,Total,white,290,374,284,368,13,12,119.0
45.tif,Total,white,346,58,340,52,14,12,124.5
45.tif,Total,white,519,213,512,206,15,15,147.5
45.tif,Total,white,445,348,438,342,15,12,140.5
45.tif,Total,white,209,185,202,180,13,10,102.0
45.tif,Total,white,12,269,7,263,11,14,113.0
45.tif,Total,white,33,560,28,554,12,12,103.5
45.tif,Total,white,469,47,459,42,18,11,132.5
45.tif,Total,white,53,49,44,44,18,11,170.0
45.tif,Total,black,535,357,503,297,62,106,3321.5
32.tif,Total,white,124,75,113,62,21,27,444.5
32.tif,Total,white,133,384,109,362,47,44,1448.5
32.tif,Total,white,314,352,301,335,27,34,597.5
32.tif,Total,white,289,491,277,475,26,33,530.5
32.tif,Total,white,301,567,287,557,30,18,431.5
32.tif,Total,white,216,191,206,169,21,41,604.5
32.tif,Total,white,174,184,161,168,25,32,487.0
32.tif,Total,white,120,172,104,160,31,32,583.5
32.tif,Total,white,480,297,471,281,20,30,392.5
32.tif,Total,black,499,9,482,0,35,24,544.0
32.tif,Total,black,160,8,132,0,56,21,866.5
32.tif,Total,black,290,122,279,105,24,35,574.5
32.tif,Total,black,457,397,448,387,20,21,306.0
185.tif,Total,white,268,89,249,68,39,42,1180.5
185.tif,Total,white,458,141,448,126,22,31,484.0
185.tif,Total,white,105,125,92,107,25,38,673.5
185.tif,Total,white,276,135,263,123,27,25,532.5
185.tif,Total,white,395,396,383,372,26,57,978.5
185.tif,Total,white,355,413,343,397,25,38,627.5
185.tif,Total,white,372,494,357,466,32,57,1234.0
185.tif,Total,black,123,263,106,233,38,58,1209.5
185.tif,Total,black,405,132,390,93,36,77,1634.5
185.tif,Total,black,456,293,435,273,44,44,1156.0
185.tif,Total,black,312,462,289,414,48,97,2759.5
185.tif,Total,black,57,516,37,492,41,48,1250.0
185.tif,Total,black,316,344,296,309,50,94,2125.5
185.tif,Total,black,276,242,246,200,58,94,3011.0
185.tif,Total,black,21,137,0,112,48,52,1687.0
185.tif,Total,black,83,76,70,49,30,56,1105.0
185.tif,Total,black,21,13,11,0,22,28,487.5
185.tif,Total,black,540,113,525,14,35,216,4081.0
185.tif,Total,black,227,136,210,111,39,47,1228.5
185.tif,Total,black,550,561,534,542,36,33,852.0
306.tif,Total,white,106,375,97,363,19,27,386.5
306.tif,Total,white,444,477,425,452,40,53,1513.5
306.tif,Total,white,411,561,401,547,20,28,423.0
306.tif,Total,white,548,242,539,229,20,25,374.5
306.tif,Total,white,242,232,226,213,32,39,893.0
306.tif,Total,white,66,229,56,214,20,30,461.5
306.tif,Total,white,4,281,0,270,11,24,208.0
306.tif,Total,white,404,31,395,17,19,29,408.5
306.tif,Total,white,227,527,220,516,15,22,250.5
306.tif,Total,white,427,293,418,280,18,27,376.5
306.tif,Total,black,142,506,132,491,21,33,497.0
306.tif,Total,black,323,444,311,433,25,26,461.0
306.tif,Total,black,216,461,205,441,23,44,715.0
306.tif,Total,black,39,480,28,466,25,35,510.5
243.tif,Total,white,536,506,518,482,39,44,1168.5
243.tif,Total,white,316,552,308,532,19,36,444.5
243.tif,Total,black,195,294,161,266,67,47,1511.5
243.tif,Total,black,154,42,137,0,46,78,1757.0
243.tif,Total,black,209,43,183,21,53,45,1400.5
243.tif,Total,black,280,20,261,0,37,41,1005.0
243.tif,Total,black,324,76,298,47,50,67,1729.5
243.tif,Total,black,254,201,226,182,57,41,1260.5
243.tif,Total,black,166,242,154,219,23,43,675.0
351.tif,Total,white,180,124,163,103,41,40,1089.5
351.tif,Total,white,309,23,290,7,38,33,875.5
351.tif,Total,white,490,84,469,74,46,23,749.0
351.tif,Total,white,320,433,283,410,66,46,1779.5
351.tif,Total,white,153,481,131,465,43,31,1050.0
351.tif,Total,white,247,369,226,354,44,31,846.0
351.tif,Total,white,425,333,409,320,32,26,598.5
351.tif,Total,white,427,300,408,286,37,31,778.0
351.tif,Total,white,443,201,422,182,44,41,1102.0
351.tif,Total,white,226,259,204,246,42,24,721.0
351.tif,Total,white,143,189,128,176,31,28,608.0
351.tif,Total,white,258,143,238,129,38,28,723.5
351.tif,Total,black,98,377,70,345,58,66,2452.5
351.tif,Total,black,171,374,138,353,67,45,2067.5
351.tif,Total,black,139,424,120,401,40,46,1313.0
351.tif,Total,black,114,124,83,97,58,58,2302.5
351.tif,Total,black,550,313,523,284,52,62,2352.0
351.tif,Total,black,399,81,371,58,58,48,2027.5
351.tif,Total,black,21,548,0,520,47,55,1802.5
351.tif,Total,black,22,315,0,283,57,72,2572.5
214.tif,Total,white,426,116,414,100,25,32,598.5
214.tif,Total,white,512,458,496,426,37,67,1624.5
214.tif,Total,white,472,517,455,494,38,41,1010.5
214.tif,Total,white,193,514,176,490,38,47,1004.0
214.tif,Total,white,210,453,194,439,31,28,601.0
214.tif,Total,white,61,453,47,442,29,22,403.5
214.tif,Total,white,47,433,37,420,21,27,391.0
214.tif,Total,white,537,197,524,175,29,44,892.0
214.tif,Total,white,155,171,137,154,40,33,901.0
214.tif,Total,white,260,270,243,250,37,48,928.5
214.tif,Total,white,38,186,24,161,28,49,926.5
214.tif,Total,black,337,197,307,147,63,106,2498.5
214.tif,Total,black,188,372,165,347,40,44,947.5
214.tif,Total,black,307,455,295,440,26,32,561.0
214.tif,Total,black,355,173,309,112,90,144,6469.0
214.tif,Total,black,397,498,382,462,25,67,1133.5
214.tif,Total,black,275,46,249,32,54,29,1091.5
73.tif,Total,white,270,182,262,175,16,14,176.5
73.tif,Total,white,109,432,84,404,59,52,1439.5
73.tif,Total,white,363,420,348,412,28,15,250.5
73.tif,Total,white,474,55,445,15,51,89,2826.0
73.tif,Total,black,545,531,490,454,85,121,5742.0
73.tif,Total,black,559,287,536,235,39,95,2601.5
73.tif,Total,black,566,71,551,38,24,66,943.0
347.tif,Total,white,337,300,324,272,28,57,1195.5
347.tif,Total,white,497,337,478,278,43,111,3390.5
347.tif,Total,white,407,197,392,164,29,69,1498.5
347.tif,Total,white,249,515,232,489,36,49,1100.5
347.tif,Total,white,205,513,195,497,21,32,509.0
347.tif,Total,white,5,186,0,146,17,71,626.0
347.tif,Total,black,157,175,129,129,57,103,3693.0
347.tif,Total,black,451,304,420,249,55,109,4000.5
347.tif,Total,black,151,508,136,443,32,129,2930.0
347.tif,Total,black,500,518,489,498,26,39,739.0
347.tif,Total,black,323,10,284,0,72,29,1280.5
202.tif,Total,white,58,144,47,127,23,33,541.0
202.tif,Total,white,418,187,398,155,43,58,1176.5
202.tif,Total,white,291,282,283,270,16,21,223.0
202.tif,Total,white,389,505,371,492,35,28,683.5
202.tif,Total,white,130,113,114,93,31,39,734.0
202.tif,Total,white,118,313,110,305,17,18,230.5
202.tif,Total,black,174,77,159,57,30,40,840.5
202.tif,Total,black,222,352,203,330,35,48,1066.5
202.tif,Total,black,290,564,276,550,25,25,438.0
202.tif,Total,black,568,480,561,462,14,31,291.0
24.tif,Total,white,366,168,349,143,35,51,1334.0
24.tif,Total,white,75,407,50,383,47,47,1487.5
24.tif,Total,white,414,420,393,394,41,54,1727.5
24.tif,Total,white,74,145,50,116,42,53,1383.0
24.tif,Total,black,564,207,548,164,27,73,1159.0
24.tif,Total,black,206,388,175,363,65,47,2255.0
24.tif,Total,black,182,521,157,489,52,64,2152.5
24.tif,Total,black,367,549,339,516,57,59,2585.5
24.tif,Total,black,195,229,177,209,37,37,977.0
24.tif,Total,black,236,319,208,297,57,49,1980.0
24.tif,Total,black,9,302,0,275,26,61,991.5
24.tif,Total,black,5,448,0,421,13,53,550.0
24.tif,Total,black,260,93,242,75,34,39,890.5
24.tif,Total,black,251,248,227,228,49,39,1327.0
193.tif,Total,black,454,553,433,524,46,51,1594.5
193.tif,Total,black,124,497,112,483,25,29,519.0
193.tif,Total,black,20,559,0,542,44,33,1054.5
193.tif,Total,black,62,510,43,490,41,39,968.0
193.tif,Total,black,392,369,372,354,41,35,989.5
193.tif,Total,black,542,10,518,0,38,24,553.5
193.tif,Total,black,436,84,417,56,37,74,1562.0
193.tif,Total,black,9,191,0,128,28,99,1355.0
193.tif,Total,black,63,142,40,106,43,72,2102.0
193.tif,Total,black,230,131,209,113,40,38,989.5
193.tif,Total,black,287,241,274,222,26,37,684.0
193.tif,Total,black,457,293,435,274,45,39,1351.5
193.tif,Total,white,283,297,266,273,35,49,1105.0
193.tif,Total,white,187,490,164,437,48,96,2970.0
193.tif,Total,white,149,151,117,119,68,65,2999.5
193.tif,Total,white,129,238,123,228,14,20,223.5
193.tif,Total,white,138,265,132,256,12,18,173.5
193.tif,Total,white,518,369,502,337,35,64,1414.5
310.tif,Total,black,35,362,0,155,88,420,28692.0
310.tif,Total,black,549,186,515,131,60,116,4366.5
310.tif,Total,black,542,538,507,497,68,78,3923.0
310.tif,Total,black,564,15,543,0,32,46,772.0
310.tif,Total,black,571,326,565,307,10,45,267.5
310.tif,Total,black,400,272,371,241,67,57,2300.5
310.tif,Total,white,207,459,183,435,53,50,1912.0
255.tif,Total,white,503,341,488,321,33,42,810.5
255.tif,Total,white,285,18,270,4,33,30,664.0
255.tif,Total,white,208,317,195,305,27,25,440.5
255.tif,Total,white,208,559,193,538,28,37,624.0
255.tif,Total,white,342,436,326,418,34,36,827.0
255.tif,Total,black,393,344,369,323,47,45,1305.0
255.tif,Total,black,198,13,183,0,32,28,608.5
255.tif,Total,black,10,101,0,68,26,65,1015.5
255.tif,Total,black,52,95,20,47,68,89,2086.5
255.tif,Total,black,382,107,365,82,37,50,1159.0
255.tif,Total,black,393,157,381,144,24,27,487.0
255.tif,Total,black,464,413,443,387,42,57,1142.5
255.tif,Total,black,463,502,435,483,48,43,1127.5
255.tif,Total,black,109,218,77,193,71,47,2049.5
255.tif,Total,black,233,165,209,140,50,47,1488.0
255.tif,Total,black,56,507,38,493,36,29,730.0
107.tif,Total,white,205,181,181,161,50,40,1441.5
107.tif,Total,white,430,182,411,166,38,32,900.0
107.tif,Total,white,290,289,269,260,42,62,1464.5
107.tif,Total,white,103,183,78,166,51,34,1250.5
107.tif,Total,black,380,557,354,529,57,46,1549.5
107.tif,Total,black,13,173,0,160,33,25,582.0
107.tif,Total,black,9,302,0,283,27,38,563.5
107.tif,Total,black,12,242,0,209,33,56,1006.0
107.tif,Total,black,9,535,0,510,25,44,696.5
107.tif,Total,black,276,438,254,407,41,67,1749.5
107.tif,Total,white,255,441,238,422,34,37,893.0
107.tif,Total,white,553,204,526,189,49,32,1099.0
107.tif,Total,white,176,282,162,272,28,22,450.0
107.tif,Total,white,100,309,71,296,56,28,1128.5
384.tif,Total,white,25,442,0,350,56,182,8610.0
384.tif,Total,black,127,458,77,372,109,203,9970.0
384.tif,Total,white,400,139,372,105,57,68,2886.0
384.tif,Total,black,552,249,519,193,56,103,3982.0
150.tif,Total,white,238,159,213,146,55,25,960.0
150.tif,Total,white,508,406,497,390,24,35,624.0
150.tif,Total,white,179,507,170,498,22,20,300.5
279.tif,Total,white,143,305,107,280,65,55,1931.5
279.tif,Total,white,384,232,361,200,49,66,1591.5
279.tif,Total,white,243,362,229,342,29,41,738.0
279.tif,Total,white,325,44,290,28,61,41,1342.0
279.tif,Total,white,307,187,291,158,32,58,1072.0
279.tif,Total,black,76,44,1,12,147,74,5175.0
279.tif,Total,black,12,304,0,284,33,35,707.5
279.tif,Total,black,469,469,457,435,24,73,1156.0
279.tif,Total,black,79,187,41,154,94,62,2212.0
279.tif,Total,black,534,449,528,425,15,46,366.0
279.tif,Total,black,564,377,553,356,22,48,663.5
279.tif,Total,black,569,480,565,473,8,19,104.0
279.tif,Total,black,488,175,470,161,33,29,627.5
279.tif,Total,black,462,116,457,107,11,20,167.0
279.tif,Total,black,567,16,563,6,7,21,97.0
279.tif,Total,black,447,243,425,223,51,36,592.5
279.tif,Total,black,562,247,556,230,14,32,226.5
296.tif,Total,white,343,232,328,221,28,24,297.0
296.tif,Total,white,269,449,260,443,20,13,167.5
296.tif,Total,white,470,261,457,248,28,22,330.0
296.tif,Total,white,242,538,238,526,9,26,200.5
296.tif,Total,white,44,512,33,504,22,16,281.5
296.tif,Total,white,208,309,203,300,13,19,140.5
296.tif,Total,white,333,383,323,371,19,22,241.5
296.tif,Total,white,219,276,210,269,19,15,157.5
296.tif,Total,white,181,65,171,60,20,12,169.5
296.tif,Total,white,75,56,68,50,17,13,153.5
296.tif,Total,white,254,14,246,7,17,14,167.0
296.tif,Total,white,430,122,423,111,15,23,245.0
296.tif,Total,white,429,158,423,151,13,17,174.5
296.tif,Total,white,376,7,369,0,16,16,222.0
296.tif,Total,white,153,164,146,159,15,12,140.0
296.tif,Total,white,159,198,153,191,13,14,128.5
296.tif,Total,white,93,543,88,538,12,12,111.5
296.tif,Total,white,127,559,121,546,13,28,298.0
296.tif,Total,white,426,492,420,483,13,18,181.5
296.tif,Total,white,429,516,422,511,16,11,132.5
296.tif,Total,white,432,400,424,392,17,16,225.0
296.tif,Total,white,322,480,314,472,17,17,229.0
296.tif,Total,white,401,94,395,86,13,16,152.0
296.tif,Total,black,127,334,118,324,19,22,318.0
296.tif,Total,black,401,437,393,418,19,38,449.0
296.tif,Total,black,157,538,149,530,15,16,133.0
296.tif,Total,black,300,230,292,222,18,19,219.0
296.tif,Total,black,35,229,26,221,17,16,182.5
296.tif,Total,black,543,181,537,173,14,16,177.0
296.tif,Total,black,475,403,468,395,15,16,192.5
296.tif,Total,black,390,287,383,270,14,34,327.5
296.tif,Total,black,250,149,241,140,18,21,285.0
296.tif,Total,black,307,163,297,155,18,17,213.0
296.tif,Total,black,300,327,291,320,19,17,234.5
146.tif,Total,white,273,220,244,191,58,61,2186.5
146.tif,Total,white,82,275,55,252,53,50,1292.5
146.tif,Total,white,556,26,523,0,52,72,2020.0
146.tif,Total,white,448,415,420,399,57,36,987.0
146.tif,Total,white,285,500,257,476,59,48,1340.5
146.tif,Total,black,73,299,29,255,95,76,2710.5
146.tif,Total,black,40,92,21,65,39,58,1569.5
146.tif,Total,white,551,524,525,511,50,29,818.0
146.tif,Total,white,87,543,54,521,63,45,1649.0
146.tif,Total,white,41,554,10,540,63,29,1070.0
146.tif,Total,white,316,351,291,335,48,34,797.5
146.tif,Total,white,262,311,237,295,50,35,839.5
146.tif,Total,white,307,187,291,158,32,62,1317.0
146.tif,Total,white,117,92,108,63,20,58,883.5
146.tif,Total,white,519,101,504,74,30,60,1335.0
146.tif,Total,white,466,130,453,100,26,64,1232.0
146.tif,Total,white,420,230,399,211,46,40,781.5
146.tif,Total,white,554,283,530,267,45,36,765.5
146.tif,Total,white,560,374,540,359,35,36,725.0
280.tif,Total,white,122,73,103,55,40,39,1184.0
280.tif,Total,white,520,254,511,244,19,21,266.0
280.tif,Total,white,431,290,423,285,18,11,148.0
280.tif,Total,white,327,275,319,270,16,11,143.5
280.tif,Total,white,133,285,124,278,19,16,230.0
280.tif,Total,white,335,129,326,121,18,16,224.0
280.tif,Total,white,307,336,301,330,13,12,122.5
280.tif,Total,white,445,356,429,347,31,19,411.0
280.tif,Total,white,273,530,262,523,23,15,247.0
280.tif,Total,white,530,453,521,447,19,13,184.5
280.tif,Total,black,43,74,15,56,58,32,1460.0
280.tif,Total,black,289,72,268,54,47,36,1262.5
280.tif,Total,black,215,75,192,57,40,37,963.5
49.tif,Total,white,215,274,206,257,19,37,431.0
49.tif,Total,black,143,270,131,253,26,37,655.5
49.tif,Total,black,469,290,458,266,23,56,849.5
49.tif,Total,black,167,311,154,291,28,44,824.0
49.tif,Total,black,300,489,267,465,70,50,2662.0
49.tif,Total,black,30,197,4,152,51,93,2223.0
111.tif,Total,white,189,27,157,0,68,60,3079.5
111.tif,Total,white,334,393,296,368,81,48,2845.5
111.tif,Total,white,488,9,470,0,40,22,651.5
111.tif,Total,white,271,290,255,281,34,19,513.5
111.tif,Total,black,305,291,294,283,25,18,297.0
111.tif,Total,black,163,453,133,438,55,40,1369.5
111.tif,Total,black,491,393,478,362,32,50,876.5
111.tif,Total,black,544,393,518,371,53,46,1768.0
392.tif,Total,black,268,234,252,217,32,34,827.0
392.tif,Total,black,307,535,283,497,48,78,2577.0
392.tif,Total,black,16,208,0,184,36,46,1274.5
392.tif,Total,black,140,172,118,138,46,60,1836.0
392.tif,Total,black,400,256,379,223,48,63,1807.0
392.tif,Total,white,360,471,336,429,48,88,2881.0
392.tif,Total,white,93,184,69,124,47,122,3617.0
392.tif,Total,black,512,178,499,155,27,48,939.0
392.tif,Total,black,233,428,208,397,48,60,1734.5
392.tif,Total,black,62,451,39,428,45,46,1338.0
392.tif,Total,white,250,32,234,17,32,26,501.0
392.tif,Total,white,381,319,370,307,25,25,402.5
392.tif,Total,white,559,353,539,335,36,49,760.5
392.tif,Total,white,546,290,523,271,44,41,1038.0
392.tif,Total,white,391,550,369,526,43,45,1262.5
392.tif,Total,white,48,253,40,246,17,15,171.0
392.tif,Total,black,10,26,0,0,29,69,1297.5
392.tif,Total,black,272,164,254,139,40,55,1586.0
238.tif,Total,white,83,314,53,299,53,32,1123.0
238.tif,Total,white,330,137,307,126,47,23,683.5
238.tif,Total,white,163,259,142,250,43,20,616.0
238.tif,Total,white,564,314,549,289,26,41,630.0
238.tif,Total,black,142,371,115,358,54,27,1012.5
238.tif,Total,black,540,427,515,407,54,41,1518.0
238.tif,Total,black,399,91,385,76,27,30,583.5
238.tif,Total,white,251,44,225,29,54,32,1126.0
238.tif,Total,white,337,19,302,0,71,42,1841.5
238.tif,Total,white,32,382,19,369,26,24,431.5
238.tif,Total,white,227,434,196,420,59,28,960.5
238.tif,Total,white,191,551,174,534,36,35,929.5
238.tif,Total,black,159,315,122,301,80,27,1493.0
238.tif,Total,black,204,348,181,337,44,26,614.5
238.tif,Total,black,381,530,346,511,72,45,1386.5
238.tif,Total,black,498,463,475,456,56,19,549.5
238.tif,Total,black,205,135,186,131,40,10,338.0
238.tif,Total,black,153,54,144,45,23,19,218.5
238.tif,Total,black,169,29,142,20,49,20,588.0
238.tif,Total,black,467,8,452,0,31,18,312.5
238.tif,Total,white,330,366,314,359,34,15,302.0
393.tif,Total,black,427,146,406,122,39,48,1064.0
393.tif,Total,black,320,102,291,75,55,55,2108.0
393.tif,Total,black,244,244,212,218,58,49,1720.0
393.tif,Total,black,371,499,349,461,52,67,1790.0
393.tif,Total,white,174,375,161,344,26,72,1237.5
393.tif,Total,white,254,545,243,532,21,26,375.0
393.tif,Total,white,447,72,416,48,62,53,1783.0
393.tif,Total,black,193,166,182,152,23,27,454.0
393.tif,Total,black,524,320,506,302,39,36,930.0
239.tif,Total,black,177,274,147,245,57,58,2217.5
239.tif,Total,black,427,390,409,375,32,31,732.0
239.tif,Total,black,508,128,489,101,40,53,1485.5
239.tif,Total,black,308,53,294,38,28,29,574.0
239.tif,Total,black,355,71,331,47,44,45,1188.0
239.tif,Total,black,208,19,191,0,40,50,1109.5
239.tif,Total,black,321,377,301,365,38,24,629.5
239.tif,Total,white,289,537,253,491,75,84,2896.5
239.tif,Total,white,566,384,554,365,21,37,546.0
239.tif,Total,white,287,233,265,209,45,49,1008.0
239.tif,Total,white,526,386,513,374,30,23,345.0
239.tif,Total,black,169,506,155,493,29,29,550.5
239.tif,Total,black,66,425,58,417,17,19,227.5
239.tif,Total,black,40,462,31,451,17,21,222.0
239.tif,Total,black,248,368,235,334,25,56,516.0
239.tif,Total,black,304,414,295,403,20,21,275.0
48.tif,Total,black,81,282,71,271,22,22,359.0
48.tif,Total,black,39,354,32,347,15,16,183.5
48.tif,Total,black,28,479,17,468,23,23,403.0
48.tif,Total,black,381,533,371,523,19,21,311.0
48.tif,Total,black,366,358,345,337,46,45,1384.0
48.tif,Total,black,531,134,511,113,40,42,1262.5
48.tif,Total,black,545,122,509,84,66,73,3381.0
48.tif,Total,black,401,163,395,157,14,13,148.5
48.tif,Total,black,205,26,162,0,80,59,3752.0
48.tif,Total,black,246,312,213,269,63,88,3441.0
48.tif,Total,black,206,513,199,506,14,14,153.0
48.tif,Total,black,106,483,98,478,17,12,147.5
48.tif,Total,black,9,518,2,510,15,17,211.0
48.tif,Total,black,68,248,60,241,18,15,210.0
48.tif,Total,black,307,20,300,13,14,14,149.0
48.tif,Total,black,377,274,363,258,30,32,714.0
48.tif,Total,black,523,368,517,363,12,12,111.5
48.tif,Total,white,327,541,295,499,64,76,3206.0
48.tif,Total,white,284,351,263,328,45,46,1425.5
48.tif,Total,white,333,395,316,381,36,29,741.5
110.tif,Total,white,256,238,216,212,86,54,3504.0
110.tif,Total,white,196,132,186,123,20,19,299.5
110.tif,Total,white,13,304,0,285,33,46,1148.5
110.tif,Total,white,375,268,364,260,23,18,331.0
110.tif,Total,black,72,227,38,202,61,60,2109.0
110.tif,Total,black,445,537,415,523,52,33,1198.5
